date,numbers,powerball_winners,powerball_price,winner_location
2004-04-03,"['6', '7', '26', '32', '43', '13']",0,$22.2 MILLION,None
2004-04-07,"['2', '7', '16', '35', '37', '10']",0,$26.3 MILLION,None
2004-04-10,"['2', '9', '30', '47', '48', '40']",0,$31.2 MILLION,None
2004-04-14,"['1', '6', '20', '22', '38', '22']",0,$35.8 MILLION,None
2004-04-17,"['4', '29', '34', '41', '42', '11']",0,$41.2 MILLION,None
2004-04-21,"['8', '11', '34', '42', '51', '27']",0,$47.6 MILLION,None
2004-04-24,"['2', '13', '22', '35', '44', '28']",0,$55.8 MILLION,None
2004-04-28,"['27', '34', '42', '49', '52', '23']",0,$64.6 MILLION,None
2004-05-01,"['1', '10', '34', '39', '47', '33']",0,$75.9 MILLION,None
2004-05-05,"['9', '16', '21', '25', '32', '8']",0,$90.0 MILLION,None
2004-05-08,"['3', '9', '17', '37', '43', '39']",1,$110.2 MILLION,PA
2004-05-12,"['11', '31', '35', '42', '45', '35']",0,$5.2 MILLION,None
2004-05-15,"['1', '26', '27', '43', '46', '31']",0,$8.3 MILLION,None
2004-05-19,"['14', '15', '31', '37', '41', '31']",0,$12.3 MILLION,None
2004-05-22,"['1', '7', '36', '42', '49', '41']",0,$17.1 MILLION,None
2004-05-26,"['3', '10', '31', '35', '38', '16']",0,$21.6 MILLION,None
2004-05-29,"['1', '16', '30', '32', '39', '2']",1,$26.9 MILLION,PA
2004-06-02,"['5', '6', '12', '26', '29', '30']",0,$5.2 MILLION,None
2004-06-05,"['5', '26', '39', '41', '42', '39']",0,$7.5 MILLION,None
2004-06-09,"['1', '31', '33', '37', '50', '40']",0,$11.2 MILLION,None
2004-06-12,"['6', '20', '43', '48', '52', '28']",0,$15.5 MILLION,None
2004-06-16,"['16', '18', '26', '39', '48', '22']",0,$19.6 MILLION,None
2004-06-19,"['2', '9', '36', '37', '48', '16']",0,$24.4 MILLION,None
2004-06-23,"['9', '12', '16', '20', '39', '1']",0,$28.9 MILLION,None
2004-06-26,"['9', '17', '32', '41', '47', '8']",1,$34.2 MILLION,SC
2004-06-30,"['2', '29', '31', '45', '47', '4']",0,$5.2 MILLION,None
2004-07-03,"['3', '8', '12', '30', '47', '23']",0,$7.6 MILLION,None
2004-07-07,"['18', '25', '30', '34', '41', '10']",1,$11.1 MILLION,MN
2004-07-10,"['16', '17', '23', '26', '44', '13']",0,$5.2 MILLION,None
2004-07-14,"['9', '24', '45', '49', '50', '37']",0,$7.1 MILLION,None
2004-07-17,"['20', '23', '36', '45', '50', '9']",0,$11.1 MILLION,None
2004-07-21,"['3', '31', '38', '42', '46', '2']",0,$14.8 MILLION,None
2004-07-24,"['2', '3', '13', '29', '52', '25']",0,$19.2 MILLION,None
2004-07-28,"['4', '19', '39', '40', '50', '22']",0,$23.3 MILLION,None
2004-07-31,"['14', '31', '35', '45', '47', '35']",0,$28.5 MILLION,None
2004-08-04,"['11', '22', '26', '37', '51', '21']",0,$33.5 MILLION,None
2004-08-07,"['8', '9', '16', '34', '48', '8']",0,$39.4 MILLION,None
2004-08-11,"['5', '10', '29', '33', '51', '35']",0,$45.5 MILLION,None
2004-08-14,"['4', '10', '11', '18', '43', '41']",1,$53.1 MILLION,MN
2004-08-18,"['31', '33', '35', '40', '42', '40']",0,$5.4 MILLION,None
2004-08-21,"['3', '16', '27', '39', '40', '3']",0,$7.5 MILLION,None
2004-08-25,"['1', '30', '32', '37', '50', '19']",0,$11.2 MILLION,None
